,id,prolific_id,task_number,condition,initial_guess,final_guess,predicted_charge,uncertainty_level,true_charge,age,sex,bmi,children,smoker,prediction_error,total_uncertainty_std,epistemic_uncertainty_std,aleatoric_uncertainty_std,task_duration_ms,created_at,Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Insurance types,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
0,700,5ff3dd153986cc9fd8a6ba4f,1,3,21161,8831,9651,1,6113,31,female,30.495,3,no,3538,10518,523,10505,17185.875177383423,2025-07-24 21:20:50+00,6882a344739a2b09975dc8c8,5ff3dd153986cc9fd8a6ba4f,APPROVED,Not Applicable,2025-07-24T21:19:04.107000Z,2025-07-24T21:23:07.673000Z,2025-07-25T00:37:37.871000Z,2025-07-24T21:23:08.105268Z,244.0,C1FHYQ9H,4002,"Health Insurance, Home Insurance, Life Insurance",38,Male,White,United States,United States,United States,English,Yes,Full-Time
1,701,5ff3dd153986cc9fd8a6ba4f,2,3,7422,10972,10037,1,6552,33,female,36.29,3,no,3485,9693,919,9649,6406.856060028076,2025-07-24 21:21:07+00,6882a344739a2b09975dc8c8,5ff3dd153986cc9fd8a6ba4f,APPROVED,Not Applicable,2025-07-24T21:19:04.107000Z,2025-07-24T21:23:07.673000Z,2025-07-25T00:37:37.871000Z,2025-07-24T21:23:08.105268Z,244.0,C1FHYQ9H,4002,"Health Insurance, Home Insurance, Life Insurance",38,Male,White,United States,United States,United States,English,Yes,Full-Time
2,702,5ff3dd153986cc9fd8a6ba4f,3,3,7422,3265,4206,2,13127,23,female,28.0,0,no,8921,8287,227,8284,6272.780895233154,2025-07-24 21:21:20+00,6882a344739a2b09975dc8c8,5ff3dd153986cc9fd8a6ba4f,APPROVED,Not Applicable,2025-07-24T21:19:04.107000Z,2025-07-24T21:23:07.673000Z,2025-07-25T00:37:37.871000Z,2025-07-24T21:23:08.105268Z,244.0,C1FHYQ9H,4002,"Health Insurance, Home Insurance, Life Insurance",38,Male,White,United States,United States,United States,English,Yes,Full-Time
3,703,5ff3dd153986cc9fd8a6ba4f,4,3,21562,26063,26858,2,19720,32,male,28.93,1,yes,7138,6991,1029,6915,5800.525665283203,2025-07-24 21:21:33+00,6882a344739a2b09975dc8c8,5ff3dd153986cc9fd8a6ba4f,APPROVED,Not Applicable,2025-07-24T21:19:04.107000Z,2025-07-24T21:23:07.673000Z,2025-07-25T00:37:37.871000Z,2025-07-24T21:23:08.105268Z,244.0,C1FHYQ9H,4002,"Health Insurance, Home Insurance, Life Insurance",38,Male,White,United States,United States,United States,English,Yes,Full-Time
4,704,5ff3dd153986cc9fd8a6ba4f,5,3,15545,17715,19177,3,17043,26,male,27.06,0,yes,2134,5982,898,5915,4841.980934143066,2025-07-24 21:22:02+00,6882a344739a2b09975dc8c8,5ff3dd153986cc9fd8a6ba4f,APPROVED,Not Applicable,2025-07-24T21:19:04.107000Z,2025-07-24T21:23:07.673000Z,2025-07-25T00:37:37.871000Z,2025-07-24T21:23:08.105268Z,244.0,C1FHYQ9H,4002,"Health Insurance, Home Insurance, Life Insurance",38,Male,White,United States,United States,United States,English,Yes,Full-Time
5,705,5ff3dd153986cc9fd8a6ba4f,6,3,20058,4122,4404,3,2711,19,female,25.745,1,no,1693,5784,329,5775,10203.270673751831,2025-07-24 21:22:17+00,6882a344739a2b09975dc8c8,5ff3dd153986cc9fd8a6ba4f,APPROVED,Not Applicable,2025-07-24T21:19:04.107000Z,2025-07-24T21:23:07.673000Z,2025-07-25T00:37:37.871000Z,2025-07-24T21:23:08.105268Z,244.0,C1FHYQ9H,4002,"Health Insurance, Home Insurance, Life Insurance",38,Male,White,United States,United States,United States,English,Yes,Full-Time
6,706,5ff3dd153986cc9fd8a6ba4f,7,3,12436,2400,2434,4,1770,20,male,29.735,0,no,664,618,312,534,10987.147092819214,2025-07-24 21:22:42+00,6882a344739a2b09975dc8c8,5ff3dd153986cc9fd8a6ba4f,APPROVED,Not Applicable,2025-07-24T21:19:04.107000Z,2025-07-24T21:23:07.673000Z,2025-07-25T00:37:37.871000Z,2025-07-24T21:23:08.105268Z,244.0,C1FHYQ9H,4002,"Health Insurance, Home Insurance, Life Insurance",38,Male,White,United States,United States,United States,English,Yes,Full-Time
7,707,5ff3dd153986cc9fd8a6ba4f,8,3,10832,13000,13749,4,14394,57,female,28.785,4,no,646,608,425,435,6798.199892044067,2025-07-24 21:22:54+00,6882a344739a2b09975dc8c8,5ff3dd153986cc9fd8a6ba4f,APPROVED,Not Applicable,2025-07-24T21:19:04.107000Z,2025-07-24T21:23:07.673000Z,2025-07-25T00:37:37.871000Z,2025-07-24T21:23:08.105268Z,244.0,C1FHYQ9H,4002,"Health Insurance, Home Insurance, Life Insurance",38,Male,White,United States,United States,United States,English,Yes,Full-Time
8,708,5ccf87bfb46c7000010d8428,1,2,14342,17501,42710,1,58571,31,female,38.095,1,yes,15862,3830,1211,3634,20101.589679718018,2025-07-24 21:23:13+00,6882a3beaa7e51f2857791a7,5ccf87bfb46c7000010d8428,APPROVED,Not Applicable,2025-07-24T21:21:06.163000Z,2025-07-24T21:25:25.174000Z,2025-07-25T00:39:43.037000Z,2025-07-24T21:25:25.642141Z,260.0,C1FHYQ9H,3523,"Health Insurance, Life Insurance, Vehicle Insurance",30,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
9,709,5ccf87bfb46c7000010d8428,2,2,50244,48861,40164,1,52591,60,male,32.8,0,yes,12427,5892,1065,5795,10370.51773071289,2025-07-24 21:23:41+00,6882a3beaa7e51f2857791a7,5ccf87bfb46c7000010d8428,APPROVED,Not Applicable,2025-07-24T21:21:06.163000Z,2025-07-24T21:25:25.174000Z,2025-07-25T00:39:43.037000Z,2025-07-24T21:25:25.642141Z,260.0,C1FHYQ9H,3523,"Health Insurance, Life Insurance, Vehicle Insurance",30,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
